FY14,JOIN14,COUNTY14,CODISTSCH14,SCHOOLNAME14,SCHOOLTYPE14,GRADE14,ENROLLED14,FREEREDUCED14,PERCENT14,WARNING14,CEP14
2014-2015,PLATTE-ST BONAVENTURE ELEM SCHOOL,PLATTE,710703001,ST BONAVENTURE ELEM SCHOOL,ELEMENTARY                    ,PK-06,186,41,0.2204,,
2014-2015,PLATTE-ST ISIDORE ELEMENTARY SCHOOL,PLATTE,710704001,ST ISIDORE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,258,20,0.0775,,
2014-2015,PLATTE-SCOTUS CENTRAL CATHOLIC,PLATTE,710705001,SCOTUS CENTRAL CATHOLIC,SECONDARY                     ,2016-07-12,364,33,0.0907,,
2014-2015,PLATTE-HOLY FAMILY HIGH SCHOOL,PLATTE,710706001,HOLY FAMILY HIGH SCHOOL,SECONDARY                     ,2016-07-12,45,,,MASKED DATA,
2014-2015,PLATTE-HOLY FAMILY ELEMENTARY SCHOOL,PLATTE,710706002,HOLY FAMILY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,60,,,MASKED DATA,
2014-2015,PLATTE-ST FRANCIS HIGH SCHOOL,PLATTE,710708001,ST FRANCIS HIGH SCHOOL,SECONDARY                     ,2016-07-12,99,20,0.202,,
2014-2015,PLATTE-ST FRANCIS ELEMENTARY SCHOOL,PLATTE,710708002,ST FRANCIS ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,93,17,0.1828,,
2014-2015,PLATTE-ST JOHN LUTHERAN ELEM SCHOOL,PLATTE,710710001,ST JOHN LUTHERAN ELEM SCHOOL,ELEMENTARY                    ,PK-08,18,,,MASKED DATA,
2014-2015,PLATTE-CHRIST LUTHERAN ELEMENTARY SCH,PLATTE,710711001,CHRIST LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,K -08,24,,,MASKED DATA,
2014-2015,PLATTE-COLUMBUS CHRISTIAN ELEMENTARY,PLATTE,710712001,COLUMBUS CHRISTIAN ELEMENTARY,ELEMENTARY                    ,PK-08,50,12,0.24,,
2014-2015,PLATTE-COLUMBUS SDA SCHOOL,PLATTE,710715001,COLUMBUS SDA SCHOOL,ELEMENTARY                    ,2016-01-08,11,,,MASKED DATA,
2014-2015,POLK-CROSS COUNTY MIDDLE SCHOOL,POLK,720015003,CROSS COUNTY MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,77,26,0.3377,,
2014-2015,POLK-CROSS COUNTY HIGH SCHOOL,POLK,720015004,CROSS COUNTY HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,126,41,0.3254,,
2014-2015,POLK-CROSS COUNTY ELEMENTARY SCHOOL,POLK,720015005,CROSS COUNTY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,167,57,0.3413,,
2014-2015,POLK-OSCEOLA HIGH SCHOOL,POLK,720019001,OSCEOLA HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,78,22,0.2821,,
2014-2015,POLK-OSCEOLA ELEMENTARY SCHOOL,POLK,720019002,OSCEOLA ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,148,63,0.4257,,
2014-2015,POLK-OSCEOLA MIDDLE SCHOOL,POLK,720019003,OSCEOLA MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,50,25,0.5,,
2014-2015,POLK-SHELBY - RISING CITY HIGH SCHOOL,POLK,720032001,SHELBY - RISING CITY HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,117,38,0.3248,,
2014-2015,POLK-SHELBY - RISING CITY ELEMENTARY SCHOOL,POLK,720032002,SHELBY - RISING CITY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,178,66,0.3708,,
2014-2015,POLK-SHELBY - RISING CITY MIDDLE SCHOOL,POLK,720032003,SHELBY - RISING CITY MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,96,26,0.2708,,
2014-2015,POLK-HIGH PLAINS COMMUNITY HIGH SCH,POLK,720075001,HIGH PLAINS COMMUNITY HIGH SCH,HIGH SCHOOL                   ,2016-09-12,85,33,0.3882,,
2014-2015,POLK-HIGH PLAINS COMM ELEM/CLARKS,POLK,720075002,HIGH PLAINS COMM ELEM/CLARKS,ELEMENTARY                    ,PK-03,74,39,0.527,,
2014-2015,POLK-HIGH PLAINS ELEMENTARY/POLK,POLK,720075004,HIGH PLAINS ELEMENTARY/POLK,ELEMENTARY                    ,2016-04-05,43,28,0.6512,,
2014-2015,POLK-HIGH PLAINS COMMUNITY MS,POLK,720075005,HIGH PLAINS COMMUNITY MS,MIDDLE SCHOOL                 ,2016-06-08,45,21,0.4667,,
2014-2015,POLK-POLK CO CHRISTIAN ELEM SCH,POLK,720701001,POLK CO CHRISTIAN ELEM SCH,ELEMENTARY                    ,K -08,12,,,MASKED DATA,
2014-2015,RED WILLOW-MC COOK SENIOR HIGH SCHOOL,RED WILLOW,730017001,MC COOK SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,484,179,0.3698,,
2014-2015,RED WILLOW-MC COOK JUNIOR HIGH SCHOOL,RED WILLOW,730017002,MC COOK JUNIOR HIGH SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,315,138,0.4381,,
2014-2015,RED WILLOW-MC COOK ELEMENTARY SCHOOL,RED WILLOW,730017003,MC COOK ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-03,425,213,0.5012,,
2014-2015,RED WILLOW-CENTRAL ELEMENTARY SCHOOL,RED WILLOW,730017006,CENTRAL ELEMENTARY SCHOOL,ELEMENTARY                    ,2016-04-05,213,108,0.507,,
2014-2015,RED WILLOW-SOUTHWEST ELEMENTARY-INDIANOLA,RED WILLOW,730179005,SOUTHWEST ELEMENTARY-INDIANOLA,ELEMENTARY                    ,PK-06,150,76,0.5067,,
2014-2015,RED WILLOW-SOUTHWEST JR/SR HIGH SCHOOL,RED WILLOW,730179007,SOUTHWEST JR/SR HIGH SCHOOL,SECONDARY                     ,2016-07-12,144,76,0.5278,,
2014-2015,RED WILLOW-ST PATRICK'S ELEMENTARY SCHOOL,RED WILLOW,730701001,ST PATRICK'S ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-08,182,25,0.1374,,
2014-2015,RICHARDSON-FALLS CITY SENIOR HIGH,RICHARDSON,740056001,FALLS CITY SENIOR HIGH,HIGH SCHOOL                   ,2016-09-12,255,134,0.5255,,
2014-2015,RICHARDSON-FALLS CITY MIDDLE SCHOOL,RICHARDSON,740056002,FALLS CITY MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,176,107,0.608,,
2014-2015,RICHARDSON-FALLS CITY NORTH ELEMENTARY,RICHARDSON,740056003,FALLS CITY NORTH ELEMENTARY,ELEMENTARY                    ,PK-02,260,134,0.5154,,
2014-2015,RICHARDSON-FALLS CITY SOUTH ELEMENTARY,RICHARDSON,740056004,FALLS CITY SOUTH ELEMENTARY,ELEMENTARY                    ,2016-03-05,172,102,0.593,,
2014-2015,RICHARDSON-HTRS HIGH SCHOOL,RICHARDSON,740070001,HTRS HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,116,55,0.4741,,
2014-2015,RICHARDSON-HTRS MIDDLE SCHOOL,RICHARDSON,740070002,HTRS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-04-08,140,81,0.5786,,
2014-2015,RICHARDSON-HTRS ELEMENTARY SCHOOL,RICHARDSON,740070003,HTRS ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-03,139,78,0.5612,,
2014-2015,RICHARDSON-SACRED HEART SECONDARY SCHOOL,RICHARDSON,740702001,SACRED HEART SECONDARY SCHOOL,SECONDARY                     ,2016-07-12,103,14,0.1359,,
2014-2015,RICHARDSON-SACRED HEART ELEMENTARY SCHOOL,RICHARDSON,740702002,SACRED HEART ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,125,26,0.208,,
2014-2015,ROCK-ROCK COUNTY HIGH SCHOOL,ROCK,750100001,ROCK COUNTY HIGH SCHOOL,SECONDARY                     ,2016-07-12,87,40,0.4598,,
2014-2015,ROCK-PONY LAKE SCHOOL,ROCK,750100003,PONY LAKE SCHOOL,ELEMENTARY                    ,PK-08,4,,,MASKED DATA,
2014-2015,ROCK-ROSE SCHOOL,ROCK,750100005,ROSE SCHOOL,ELEMENTARY                    ,PK-08,11,,,MASKED DATA,
2014-2015,ROCK-BASSETT GRADE SCHOOL,ROCK,750100006,BASSETT GRADE SCHOOL,ELEMENTARY                    ,PK-06,105,42,0.4,,
2014-2015,SALINE-CRETE HIGH SCHOOL,SALINE,760002001,CRETE HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,519,227,0.4374,,
2014-2015,SALINE-CRETE ELEMENTARY SCHOOL,SALINE,760002002,CRETE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-04,841,494,0.5874,,
2014-2015,SALINE-CRETE MIDDLE SCHOOL,SALINE,760002003,CRETE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-05-08,492,278,0.565,,
2014-2015,SALINE-DORCHESTER HIGH SCHOOL,SALINE,760044001,DORCHESTER HIGH SCHOOL,SECONDARY                     ,2016-07-12,78,26,0.3333,,
2014-2015,SALINE-DORCHESTER ELEMENTARY SCHOOL,SALINE,760044002,DORCHESTER ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,104,44,0.4231,,
2014-2015,SALINE-FRIEND HIGH SCHOOLS,SALINE,760068001,FRIEND HIGH SCHOOLS,SECONDARY                     ,2016-07-12,126,35,0.2778,,
2014-2015,SALINE-FRIEND ELEMENTARY SCHOOL,SALINE,760068002,FRIEND ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,151,50,0.3311,,
2014-2015,SALINE-WILBER-CLATONIA HIGH SCHOOL,SALINE,760082001,WILBER-CLATONIA HIGH SCHOOL,SECONDARY                     ,2016-07-12,253,69,0.2727,,
2014-2015,SALINE-ELEMENTARY SCHOOL AT WILBER,SALINE,760082002,ELEMENTARY SCHOOL AT WILBER,ELEMENTARY                    ,PK-06,327,84,0.2569,,
2014-2015,SALINE-ST JAMES ELEMENTARY SCHOOL,SALINE,760701001,ST JAMES ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,82,35,0.4268,,
2014-2015,SALINE-ZION LUTHERAN ELEMENTARY SCH,SALINE,760703001,ZION LUTHERAN ELEMENTARY SCH,ELEMENTARY                    ,PK-08,3,,,MASKED DATA,
2014-2015,SARPY-BELLEVUE EAST SR HIGH SCHOOL,SARPY,770001001,BELLEVUE EAST SR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1526,607,0.3978,,
2014-2015,SARPY-BELLEVUE MISSION MIDDLE SCHOOL,SARPY,770001002,BELLEVUE MISSION MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,427,214,0.5012,,
2014-2015,SARPY-AVERY ELEMENTARY SCHOOL,SARPY,770001003,AVERY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,324,176,0.5432,,
2014-2015,SARPY-BELLEVUE WEST SR HIGH SCHOOL,SARPY,770001004,BELLEVUE WEST SR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,1661,464,0.2793,,
2014-2015,SARPY-LOGAN FONTENELLE MIDDLE SCHOOL,SARPY,770001005,LOGAN FONTENELLE MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,508,223,0.439,,
2014-2015,SARPY-BELLEAIRE ELEMENTARY SCHOOL,SARPY,770001006,BELLEAIRE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,292,209,0.7158,,
2014-2015,SARPY-BERTHA BARBER ELEMENTARY SCH,SARPY,770001007,BERTHA BARBER ELEMENTARY SCH,ELEMENTARY                    ,PK-06,173,95,0.5491,,
2014-2015,SARPY-BETZ ELEMENTARY SCHOOL,SARPY,770001008,BETZ ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,351,256,0.7293,,
2014-2015,SARPY-CENTRAL ELEMENTARY SCHOOL,SARPY,770001009,CENTRAL ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,162,92,0.5679,,
2014-2015,SARPY-PETER SARPY ELEMENTARY SCHOOL,SARPY,770001010,PETER SARPY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,448,159,0.3549,,
2014-2015,SARPY-BIRCHCREST ELEMENTARY SCHOOL,SARPY,770001011,BIRCHCREST ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,402,259,0.6443,,
2014-2015,SARPY-FORT CROOK ELEMENTARY SCHOOL,SARPY,770001012,FORT CROOK ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,328,129,0.3933,,
2014-2015,SARPY-TWIN RIDGE ELEMENTARY SCHOOL,SARPY,770001013,TWIN RIDGE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,285,143,0.5018,,
2014-2015,SARPY-WAKE ROBIN ELEMENTARY SCHOOL,SARPY,770001014,WAKE ROBIN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,443,147,0.3318,,
2014-2015,SARPY-LEMAY ELEMENTARY SCHOOL,SARPY,770001015,LEMAY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,384,118,0.3073,,
2014-2015,SARPY-LEONARD LAWRENCE ELEM SCHOOL,SARPY,770001017,LEONARD LAWRENCE ELEM SCHOOL,ELEMENTARY                    ,PK-06,449,117,0.2606,,
2014-2015,SARPY-TWO SPRINGS ELEMENTARY SCHOOL,SARPY,770001018,TWO SPRINGS ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,381,79,0.2073,,
2014-2015,SARPY-FAIRVIEW ELEMENTARY SCHOOL,SARPY,770001019,FAIRVIEW ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,448,59,0.1317,,
2014-2015,SARPY-LEWIS & CLARK MIDDLE SCHOOL,SARPY,770001020,LEWIS & CLARK MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,525,105,0.2,,
2014-2015,SARPY-BELLEVUE ELEMENTARY SCHOOL,SARPY,770001021,BELLEVUE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,453,53,0.117,,
2014-2015,SARPY-SARPY CO COOP HEAD START-BELLEVUE,SARPY,770001300,SARPY CO COOP HEAD START-BELLEVUE,PREK ONLY                     ,PK-PK,106,,,MASKED DATA,
2014-2015,SARPY-PAPILLION-LA VISTA SENIOR HIGH,SARPY,770027001,PAPILLION-LA VISTA SENIOR HIGH,HIGH SCHOOL                   ,2016-09-12,1719,398,0.2315,,
2014-2015,SARPY-PAPILLION JUNIOR HIGH SCHOOL,SARPY,770027002,PAPILLION JUNIOR HIGH SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,843,151,0.1791,,
2014-2015,SARPY-G STANLEY HALL ELEMENTARY SCH,SARPY,770027003,G STANLEY HALL ELEMENTARY SCH,ELEMENTARY                    ,PK-06,457,154,0.337,,
2014-2015,SARPY-LA VISTA JUNIOR HIGH SCHOOL,SARPY,770027004,LA VISTA JUNIOR HIGH SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,830,217,0.2614,,
2014-2015,SARPY-LA VISTA WEST ELEMENTARY SCH,SARPY,770027005,LA VISTA WEST ELEMENTARY SCH,ELEMENTARY                    ,PK-06,381,177,0.4646,,
2014-2015,SARPY-TARA HEIGHTS ELEMENTARY SCHOOL,SARPY,770027006,TARA HEIGHTS ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,355,89,0.2507,,
2014-2015,SARPY-TRUMBLE PARK ELEMENTARY SCHOOL,SARPY,770027007,TRUMBLE PARK ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,414,70,0.1691,,
2014-2015,SARPY-PARKVIEW HEIGHTS ELEM SCHOOL,SARPY,770027008,PARKVIEW HEIGHTS ELEM SCHOOL,ELEMENTARY                    ,PK-06,447,148,0.3311,,
2014-2015,SARPY-CARRIAGE HILL ELEMENTARY SCH,SARPY,770027009,CARRIAGE HILL ELEMENTARY SCH,ELEMENTARY                    ,PK-06,470,140,0.2979,,
2014-2015,SARPY-GOLDEN HILLS ELEMENTARY SCHOOL,SARPY,770027010,GOLDEN HILLS ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,264,91,0.3447,,
2014-2015,SARPY-PORTAL ELEMENTARY SCHOOL,SARPY,770027011,PORTAL ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,603,41,0.068,,
2014-2015,SARPY-ANDERSON GROVE ELEMENTARY SCH,SARPY,770027012,ANDERSON GROVE ELEMENTARY SCH,ELEMENTARY                    ,K -06,291,36,0.1237,,
2014-2015,SARPY-HICKORY HILL ELEMENTARY SCH,SARPY,770027013,HICKORY HILL ELEMENTARY SCH,ELEMENTARY                    ,PK-06,408,62,0.152,,
2014-2015,SARPY-RUMSEY STATION ELEMENTARY SCH,SARPY,770027014,RUMSEY STATION ELEMENTARY SCH,ELEMENTARY                    ,PK-06,433,28,0.0647,,
2014-2015,SARPY-WALNUT CREEK ELEMENTARY,SARPY,770027016,WALNUT CREEK ELEMENTARY,ELEMENTARY                    ,PK-06,475,62,0.1305,,
2014-2015,SARPY-PAPILLION-LA VISTA SOUTH H S,SARPY,770027018,PAPILLION-LA VISTA SOUTH H S,HIGH SCHOOL                   ,2016-09-12,1709,255,0.1492,,
2014-2015,SARPY-PATRIOT ELEMENTARY,SARPY,770027019,PATRIOT ELEMENTARY,ELEMENTARY                    ,PK-06,582,39,0.067,,
2014-2015,SARPY-BELL ELEMENTARY,SARPY,770027020,BELL ELEMENTARY,ELEMENTARY                    ,PK-06,541,30,0.0555,,
2014-2015,SARPY-PAPILLION-LA VISTA EARLY CHILDHOOD CENTER (PLECC),SARPY,770027030,PAPILLION-LA VISTA EARLY CHILDHOOD CENTER (PLECC),PREK ONLY                     ,PK-PK,93,,,MASKED DATA,
2014-2015,SARPY-SARPY CO COOP HEAD START-PAPILLION-LA VISTA,SARPY,770027300,SARPY CO COOP HEAD START-PAPILLION-LA VISTA,PREK ONLY                     ,PK-PK,86,,,MASKED DATA,
2014-2015,SARPY-GRETNA HIGH SCHOOL,SARPY,770037001,GRETNA HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,933,102,0.1093,,
2014-2015,SARPY-GRETNA ELEMENTARY SCHOOL,SARPY,770037002,GRETNA ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,469,58,0.1237,,
2014-2015,SARPY-GRETNA MIDDLE SCHOOL,SARPY,770037003,GRETNA MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,878,75,0.0854,,
2014-2015,SARPY-SQUIRE JOHN THOMAS ELEMENTARY,SARPY,770037004,SQUIRE JOHN THOMAS ELEMENTARY,ELEMENTARY                    ,PK-05,549,76,0.1384,,
2014-2015,SARPY-PALISADE'S ELEMENTARY SCHOOL,SARPY,770037005,PALISADE'S ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-05,618,19,0.0307,,
2014-2015,SARPY-WHITETAIL CREEK ELEMENTARY,SARPY,770037006,WHITETAIL CREEK ELEMENTARY,ELEMENTARY                    ,PK-05,505,31,0.0614,,
2014-2015,SARPY-SARPY CO COOP HEAD START-GRETNA,SARPY,770037300,SARPY CO COOP HEAD START-GRETNA,PREK ONLY                     ,PK-PK,1,,,MASKED DATA,
2014-2015,SARPY-PLATTEVIEW SENIOR HIGH SCHOOL,SARPY,770046001,PLATTEVIEW SENIOR HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,379,45,0.1187,,
2014-2015,SARPY-SPRINGFIELD ELEMENTARY SCHOOL,SARPY,770046002,SPRINGFIELD ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,281,58,0.2064,,
2014-2015,SARPY-WESTMONT ELEMENTARY SCHOOL,SARPY,770046004,WESTMONT ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,296,48,0.1622,,
2014-2015,SARPY-PLATTEVIEW CENTRAL JR HIGH SCHOOL,SARPY,770046005,PLATTEVIEW CENTRAL JR HIGH SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,176,32,0.1818,,
2014-2015,SARPY-SARPY CO COOP HEAD START-SPRINGFIELD PLATTEVIEW,SARPY,770046300,SARPY CO COOP HEAD START-SPRINGFIELD PLATTEVIEW,PREK ONLY                     ,PK-PK,5,,,MASKED DATA,
2014-2015,SARPY-ST MARY ELEMENTARY SCHOOL,SARPY,770701001,ST MARY ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-08,204,34,0.1667,,
2014-2015,SARPY-ST BERNADETTE ELEMENTARY SCH,SARPY,770702001,ST BERNADETTE ELEMENTARY SCH,ELEMENTARY                    ,PK-08,277,,,MASKED DATA,
2014-2015,SARPY-DANIEL J GROSS CATHOLIC HIGH,SARPY,770703001,DANIEL J GROSS CATHOLIC HIGH,HIGH SCHOOL                   ,2016-09-12,407,,,MASKED DATA,
2014-2015,SARPY-ST COLUMBKILLE ELEMENTARY SCH,SARPY,770705001,ST COLUMBKILLE ELEMENTARY SCH,ELEMENTARY                    ,K -08,501,36,0.0719,,
2014-2015,SARPY-ST MATTHEW THE EVANGELIST SCH,SARPY,770706001,ST MATTHEW THE EVANGELIST SCH,ELEMENTARY                    ,PK-08,136,16,0.1176,,
2014-2015,SARPY-CORNERSTONE CHRISTIAN ELEMENTARY SCHOOL,SARPY,770713001,CORNERSTONE CHRISTIAN ELEMENTARY SCHOOL,ELEMENTARY                    ,K -08,224,,,MASKED DATA,
2014-2015,SARPY-CORNERSTONE CHRISTIAN HIGH SCHOOL,SARPY,770713002,CORNERSTONE CHRISTIAN HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,35,,,MASKED DATA,
2014-2015,SAUNDERS-ASHLAND-GREENWOOD HIGH SCHOOL,SAUNDERS,780001001,ASHLAND-GREENWOOD HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,259,70,0.2703,,
2014-2015,SAUNDERS-ASHLAND-GREENWOOD ELEM SCHOOL,SAUNDERS,780001002,ASHLAND-GREENWOOD ELEM SCHOOL,ELEMENTARY                    ,PK-05,399,154,0.386,,
2014-2015,SAUNDERS-ASHLAND-GREENWOOD MIDDLE SCH,SAUNDERS,780001003,ASHLAND-GREENWOOD MIDDLE SCH,MIDDLE SCHOOL                 ,2016-06-08,193,59,0.3057,,
2014-2015,SAUNDERS-YUTAN HIGH SCHOOL,SAUNDERS,780009001,YUTAN HIGH SCHOOL,SECONDARY                     ,2016-07-12,219,49,0.2237,,
2014-2015,SAUNDERS-YUTAN ELEMENTARY SCHOOL,SAUNDERS,780009002,YUTAN ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,270,85,0.3148,,
2014-2015,SAUNDERS-WAHOO HIGH SCHOOL,SAUNDERS,780039001,WAHOO HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,291,81,0.2784,,
2014-2015,SAUNDERS-WAHOO MIDDLE SCHOOL,SAUNDERS,780039002,WAHOO MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,206,64,0.3107,,
2014-2015,SAUNDERS-WAHOO ELEMENTARY SCHOOL,SAUNDERS,780039003,WAHOO ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,458,148,0.3231,,
2014-2015,SAUNDERS-WAHOO PRE-SCHOOL,SAUNDERS,780039004,WAHOO PRE-SCHOOL,PREK ONLY                     ,PK-PK,48,35,0.7292,,
2014-2015,SAUNDERS-MEAD HIGH SCHOOL,SAUNDERS,780072001,MEAD HIGH SCHOOL,SECONDARY                     ,2016-07-12,99,32,0.3232,,
2014-2015,SAUNDERS-MEAD ELEMENTARY SCHOOL,SAUNDERS,780072002,MEAD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,154,61,0.3961,,
2014-2015,SAUNDERS-CEDAR BLUFFS HIGH SCHOOL,SAUNDERS,780107001,CEDAR BLUFFS HIGH SCHOOL,SECONDARY                     ,2016-09-12,77,28,0.3636,,
2014-2015,SAUNDERS-CEDAR BLUFFS ELEMENTARY SCHOOL,SAUNDERS,780107002,CEDAR BLUFFS ELEMENTARY SCHOOL,ELEMENTARY                    ,K -05,118,64,0.5424,,
2014-2015,SAUNDERS-CEDAR BLUFFS MIDDLE SCHOOL,SAUNDERS,780107003,CEDAR BLUFFS MIDDLE SCHOOL,MIDDLE SCHOOL                 ,2016-06-08,53,27,0.5094,,
2014-2015,SAUNDERS-CEDAR BLUFFS PRESCHOOL,SAUNDERS,780107004,CEDAR BLUFFS PRESCHOOL,PREK ONLY                     ,PK-PK,39,19,0.4872,,
2014-2015,SAUNDERS-ST WENCESLAUS ELEMENTARY SCH,SAUNDERS,780701001,ST WENCESLAUS ELEMENTARY SCH,ELEMENTARY                    ,PK-06,303,26,0.0858,,
2014-2015,SAUNDERS-BISHOP NEUMANN HIGH SCHOOL,SAUNDERS,780702001,BISHOP NEUMANN HIGH SCHOOL,SECONDARY                     ,2016-07-12,294,21,0.0714,,
2014-2015,SAUNDERS-ST JOHN NEPOMUCENE ELEM SCHOOL,SAUNDERS,780703001,ST JOHN NEPOMUCENE ELEM SCHOOL,ELEMENTARY                    ,K -06,51,10,0.1961,,
2014-2015,SCOTTS BLUFF-MINATARE HIGH SCHOOL,SCOTTS BLUFF,790002001,MINATARE HIGH SCHOOL,SECONDARY                     ,2016-07-12,112,89,0.7946,,
2014-2015,SCOTTS BLUFF-MINATARE ELEMENTARY SCHOOL,SCOTTS BLUFF,790002002,MINATARE ELEMENTARY SCHOOL,ELEMENTARY                    ,PK-06,101,86,0.8515,,
2014-2015,SCOTTS BLUFF-MINATARE PRE-START PRE-SCHOOL,SCOTTS BLUFF,790002003,MINATARE PRE-START PRE-SCHOOL,PREK ONLY                     ,PK-PK,11,,,MASKED DATA,
2014-2015,SCOTTS BLUFF-MORRILL HIGH SCHOOL,SCOTTS BLUFF,790011001,MORRILL HIGH SCHOOL,SECONDARY                     ,2016-07-12,131,74,0.5649,,
2014-2015,SCOTTS BLUFF-MORRILL ELEMENTARY,SCOTTS BLUFF,790011003,MORRILL ELEMENTARY,ELEMENTARY                    ,K -06,188,111,0.5904,,
2014-2015,SCOTTS BLUFF-TRI COMMUNITY PRESCHOOL,SCOTTS BLUFF,790011005,TRI COMMUNITY PRESCHOOL,PREK ONLY                     ,PK-PK,29,10,0.3448,,
2014-2015,SCOTTS BLUFF-GERING HIGH SCHOOL,SCOTTS BLUFF,790016001,GERING HIGH SCHOOL,HIGH SCHOOL                   ,2016-09-12,609,228,0.3744,,
2014-2015,SCOTTS BLUFF-GERING JUNIOR HIGH SCHOOL,SCOTTS BLUFF,790016002,GERING JUNIOR HIGH SCHOOL,MIDDLE SCHOOL                 ,2016-07-08,336,152,0.4524,,
2014-2015,SCOTTS BLUFF-LINCOLN ELEMENTARY SCHOOL,SCOTTS BLUFF,790016003,LINCOLN ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,321,163,0.5078,,
2014-2015,SCOTTS BLUFF-GEIL ELEMENTARY SCHOOL,SCOTTS BLUFF,790016004,GEIL ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,327,144,0.4404,,
2014-2015,SCOTTS BLUFF-NORTHFIELD ELEMENTARY SCHOOL,SCOTTS BLUFF,790016005,NORTHFIELD ELEMENTARY SCHOOL,ELEMENTARY                    ,K -06,327,197,0.6024,,
2014-2015,SCOTTS BLUFF-GERING EARLY CHILDHOOD PROGRAM,SCOTTS BLUFF,790016007,GERING EARLY CHILDHOOD PROGRAM,PREK ONLY                     ,PK-PK,77,34,0.4416,,
2014-2015,SCOTTS BLUFF-CEDAR CANYON SCHOOL,SCOTTS BLUFF,790016009,CEDAR CANYON SCHOOL,ELEMENTARY                    ,K -04,60,27,0.45,,
