SPILLNO-------,S,OWNCO--------------------,OWNSTREET-----------,OWNCITY-------------,OS,OZIP,TY,DIDATE----,SPLOC     -------------------------,SPCITY-------------------,SPCOUN-------------------,MATERIAL----------------------,SFM_ID--,FAC_NAME-----------------
09219-DWT-1400,3,BENASH KWIK LUBE,1500 UNION ST,BEATRICE,NE,68310,7,8/18/89,503 W COURT KWIK LUBE,BEATRICE,GAGE,GAS,4699,BENASH KWIK LUBE
011392-SM-0930,2,BENSON 66 SERVICE INC,200 ESSEX COURT,OMAHA,NE,68114,7,1/3/92,4835 DODGE ST,OMAHA,DOUGLAS,GASOLINE WASTE OIL,857,HILLTOP 66
032195-JF-1430,3,BENSON 66 SERVICE INC,200 ESSEX CT,OMAHA,NE,68114,7,3/6/95,1125 DAKOTA AVE,SOUTH SIOUX CITY,DAKOTA,GASOLINE,843,SOUTH SIOUX APCO
032994-GW-1115,2,BENSON 66 SERVICE INC,200 ESSEX COURT,OMAHA,NE,68114,6,3/28/94,7222 F STREET UPDIKE PLANT,OMAHA,DOUGLAS,"GASOLINE, DIESEL",835,BENSON 66 SERVICE INC
051493-DB-1530,2,BENSON 66 SERVICE INC,200 ESSEX CT,OMAHA,NE,68114,7,5/14/93,7222 F ST,OMAHA,DOUGLAS,DIESEL,835,BENSON 66 SERVICE INC
06050-KAM-0900,2,BENSON 66 SERVICE INC,200 ESSEX COURT,OMAHA,NE,68114,13,4/10/90,7345 MAPLE ST (KEYSTONE 66),OMAHA,DOUGLAS,GASOLINE,855,KEYSTONE 66
061794-NM-1515,2,BENSON 66 SERVICE INC,220 ESSEX CT,OMAHA,NE,68114,7,6/9/94,1140 W J ST,HASTINGS,ADAMS,GASOLINE AND DIESEL,918,HASTINGS APCO
062494-NM-1000,3,BENSON 66 SERVICE INC,200 ESSEX CT,OMAHA,NE,68114,7,12/28/92,7605 S 36TH ST,BELLEVUE,SARPY,GASOLINE,854,ZIP MART
062591-NH-0910,2,BENSON 66 SERVICE INC,200 ESSEX COURT,OMAHA,NE,68111,7,5/11/91,3224 N 30TH ST,OMAHA,DOUGLAS,GASOLINE,838,LADDS APCO
072699-CT-1530,2,BENSON 66 SERVICE INC,,,,,7,5/5/99,3224 N 30TH,OMAHA,DOUGLAS,WASTE OIL,838,LADD'S 66
092391-NM-1430,2,BENSON 66 SERVICE INC,200 ESSEX COURT,OMAHA,NE,68144,7,7/28/91,5153 NW RADIAL HWY,OMAHA,DOUGLAS,GASOLINE,859,BENSON APCO SVC CENTER
092393-NM-0800,3,BENSON 66 SERVICE INC,200 ESSEX CT,OMAHA,NE,68114,7,9/23/93,2715 S 120 ST,OMAHA,DOUGLAS,GASOLINE,845,WESTWOOD 66 SERVICE
110591-CT-1500,2,BENSON 66 SERVICE INC,200 ESSEX CT,OMAHA,NE,68114,7,8/19/91,1008 W MISSION AVE,BELLEVUE,SARPY,GASOLINE,915,BELLEVUE APCO
120291-NH-1250,2,BENSON 66 SERVICE INC,200 ESSEX COURT,OMAHA,NE,68114,7,11/18/91,6023 N 30TH ST,OMAHA,DOUGLAS,GAS DIESEL WASTE OIL,858,MILLER PARK 66 SERVICE
012095-TH-0844,3,BERGSTROM REILLY OIL CO,PO BOX 220,ELGIN,NE,68636,7,1/19/95,2ND & NORTH STREET,ELGIN,ANTELOPE,GASOLINE,7608,KERR MCGEE STATION
051492-DB-1350,T,BIEHL CATTLE COMPANY,RR 1,LEXINGTON,NE,68850,7,5/13/92,SAME,LEXINGTON,DAWSON,DIESEL,5906,BIEHL CATTLE
081712-JB-1055,T,BIG BATS,331 MAIN ST,CHADRON,NE,69337,6,8/17/12,1250 W HIGHWAY 20,CHADRON,DAWES,GASOILNE,,BIG BATS
092591-SB-0315,3,BILL FLOYD,4839 N 90TH ST,OMAHA,NE,68134,7,9/25/91,3322 LEVENWORTH,OMAHA,DOUGLAS,GASOLINE,3408,UNKNOWN
121996-GW-1145,3,BILLS SERVICE DERBY,PO BOX 281,SHELBY,NE,68662,7,12/18/96,1/2 MI W ON HWY 92,SHELBY,POLK,GAS,3561,BILLS SERVICE DERBY
031894-GW-1540,9,BINDER BROS INC,BOX B,TABLEROCK,NE,68447,7,12/28/90,CONCRETE PLANT,TABLE ROCK,PAWNEE,DIESEL,6246,CONCRETE PLANT
122112-JK-1700,T,BLACKBURNS GAS N WASH INC,746 N BROAD ST,FREMONT,NE,68025,7,12/21/12,746 N BROAD ST,FREMONT,DODGE,GASOLINE,3940,BLACKBURNS GAS N WASH INC
091797-CT-0910,9,BLAIRPORT SERVICE,1638 LINCOLN ST,BLAIR,NE,68008,7,4/16/97,3 MI N HWY 75-OLD BLAIR AIRPRT,BLAIR,WASHINGTON,AVIATION GAS,5469,BLAIRPORT SERVICES INC
072099-TH-1639,T,BLANKENAU MOTOR CO,PO BOX 158,DODGE,NE,68633,7,6/22/99,2ND & ELM (251 - 2ND ST),DODGE,DODGE,GASOLINE,1260,BLANKENAU MOTOR CO
052506-JF-0900,1,"BLIEMEISTER, GARY","980 CO RD W, LOT S12",,,,7,5/24/06,WOODCLIFF LAKE,FREMONT/CEDAR BLUFFS,SAUNDERS,GAS,,WOODCLIFF LAKE
072895-QK-0900,2,BLONDO SERVICE CENTER,6535 BLONDO,OMAHA,NE,68104,7,7/12/95,6535 BLONDO,OMAHA,DOUGLAS,GASOLINE,1424,BLONDO SERVICE CENTER
081894-NM-1134,T,BLUE VALLEY COOP,265 N RAILROAD ST,SEWARD,NE,68434,7,8/15/94,NE CRNR MAIN ST & RR TRACKS,TAMORA,SEWARD,"DIESEL, GASOLINE",5304,BLUE VALLEY COOP-TAMORA
091195-PH-1515,T,BNRR-HOBSON YARD,201 NO 7TH,LINCOLN,NE,68508,4,9/11/95,HOBSON YARD DIESEL SHOP,LINCOLN,LANCASTER,#2 DIESEL FUEL,,BNRR-HOBSON YARD
01097-RRV-1700,9,BNSF,801 W 'O' ST,LINCOLN,NE,68528,13,1/9/87,801 W 'O' ST,LINCOLN,LANCASTER,DIESEL WASTE OIL,3965,HUMP FUELING FACILITY
011105-NM-1115,T,BNSF,920 SE QUINCY,TOPEKA,KS,66612,6,5/1/04,207 ASH ST,TOBIAS,FILLMORE,"UNLEADED, DIESEL, #2 CLEAR DIE",,BARTELS
011995-GW-0815,9,BNSF,500 W KANSAS,ALLIANCE,NE,69301,7,12/2/93,500 W KANSAS,ALLIANCE,BOX BUTTE,GAS AND DIESEL,516,BURLINGTON NORTHERN RR
02010-BHI-0300,9,BNSF,373 INVERNESS DR SO,ENGLEWOOD,CO,80112,6,2/1/90,ALLIANCE YARD,ALLIANCE,BOX BUTTE,#2 DIESEL,,ALLIANCE YARD
020591-DT-1400,9,BNSF,PO BOX 597,ALLIANCE,NE,69301,6,2/5/91,CENTRAL YARD DIESEL TOWER,ALLIANCE,BOX BUTTE,DIESEL,,CENTRAL YARD DIESEL TWR
03237-SMS-1515,9,BNSF,"801 WEST O""""",LINCOLN,NE,68528,6,3/23/87,"HOBSON YARDS, WEST O",LINCOLN,LANCASTER,LUBE OIL,,BURLINGTON NORTHERN RR
040813-KM-1606,T,BNSF,201 N 7TH ST,LINCOLN,NE,68508,6,4/8/13,HOBSON B-2 EAST,LINCOLN,LANCASTER,DIESEL FUEL,,HOBSON: B-2 EAST
041494-GY-1430,T,BNSF,207 N 7TH ST,LINCOLN,NE,68501,7,4/13/94,6600 BURLINGTON AVE,LINCOLN,LANCASTER,WASTE OIL,3966,BNRR-HAVELOCK SHOP
04226-WCS-1500,9,BNSF,201 N 7TH ST,LINCOLN,NE,68501,6,4/22/86,CODDINGTON ST FUEL YARDS,LINCOLN,LANCASTER,DIESEL OIL,3965,CODDINGTON B1 EAST FUEL
061893-NH-0830,9,BNSF,"#80 44TH AVENUE, NE",MINNEAPOLIS,MN,55421,6,6/17/93,BNRR FUELING YARD,MC COOK,RED WILLOW,DIESEL,523,MC COOK FUELING YARDS
062998-ML-0840,9,BNSF,201 N 7TH STREET,LINCOLN,NE,68501,2,6/29/98,SOUTH BEND,SOUTH BEND,CASS,DIESEL,,BNSF
07116-MBS-1100,9,BNSF,201 N 7TH STREET,LINCOLN,NE,68508,7,7/11/86,801 W O ST,LINCOLN,LANCASTER,DIESEL,3965,BNRR DEPOT AREA
071994-GW-0830,T,BNSF,207 N 7TH,LINCOLN,NE,68501,7,5/4/94,"801 W O ST, NEAR BLDG 584",LINCOLN,LANCASTER,UNKNOWN,3965,BUILDING 584
082495-JB-1330,T,BNSF,80 44TH AVE NE,MINNEAPOLIS,MN,55421,9,8/23/95,B-2 EAST FUELING FACILITY,LINCOLN,LANCASTER,DIESEL FUEL,,BNSFB-2 EAST
083111-NH-2359,T,BNSF,80 - 44TH AVE NE,MINNEAPOLIS,MN,55421,6,8/31/11,HOBSON PUMPHOUSE B-2 FUELING,LINCOLN,LANCASTER,DIESEL,,BNSF HOBSON - B-2 FUELING
090514-JF-0930,1,BNSF,201 N 7TH,LINCOLN,NE,68508,9,9/5/14,OIL WATER COLLECTION SYSTEM,LINCOLN,LANCASTER,MIX USED OIL/DIESEL/LUBE,,BNSF
09116-WCS-1120,1,BNSF,1230 E DIEHL RD,NAPERVILLE,IL,60566,9,9/17/86,HOBSON YARDS,LINCOLN,LANCASTER,WASTE OIL,,BURLINGTON NORTHERN RR
100114-DB-1025,1,BNSF,801 WEST O ST,LINCOLN,NE,68528,9,10/1/14,HOBSON WWTP,LINCOLN,LANCASTER,WASTEWATER/DIESEL FUEL,,HOBSON WWTP
100114-JK-1640,1,BNSF,801 WEST O ST,LINCOLN,NE,68528,2,10/1/14,HOBSON YARD B-1 EAST FUELING,LINCOLN,LANCASTER,DIESEL FUEL,,HOBSON YARD B-1 EAST FUEL
100214-NH-1100,1,BNSF,801 WEST O ST,LINCOLN,NE,68528,9,10/2/14,BNSF HOBSON YARD S DRAINAGE,LINCOLN,LANCASTER,DIESEL FUEL (PRESUMED),,BNSF HOBSON YARD
101196-KM-1300,9,BNSF,,,,,6,8/31/88,WEST 1ST STREET,LOUISVILLE,CASS,PETROLEUM,,(BNSFR) CASS OIL CO
102414-NH-2145,1,BNSF,80 44TH AVE NE,MINNEAPOLIS,MN,55421,2,10/24/14,BNSF YARD - MECHANICAL SHOP,ALLIANCE,BOX BUTTE,LUBE OIL,,BNSF YARD - ALLIANCE
103092-KM-1645,1,BNSF,801 W O ST,LINCOLN,NE,68528,2,10/30/92,MIDDLE OF HOBSON YD,LINCOLN,LANCASTER,#2 DIESEL,,BNRR
111695-GW-0913,T,BNSF,80 - 44TH AVE NE,MINNEAPOLIS,MN,55421,7,11/6/95,REMOTE FUELING LOCATION (TK#3),ALLIANCE,BOX BUTTE,DIESEL,516,REMOTE FUELING LOCATION
120698-ML-2015,9,BNSF,80 44TH AVENUE NE,MINNEAPOLIS,MN,55421,6,12/6/98,"ALLIANCE YARD, FUELING RACK",ALLIANCE,BOX BUTTE,DIESEL,,BNSF - FUELING RACK
121798-KM-1043,T,BNSF,80 44TH AVE,MINNEAPOLIS,MN,55421,6,12/16/98,RAILWAY & 18TH ST,COLUMBUS,PLATTE,GASOLINE,,DEYKE OIL/BNSF
122298-TH-0854,T,BNSF,500 W KANSAS ST,ALLIANCE,NE,69301,6,11/20/98,BOILER LINE LEAK SITE,ALLIANCE,BOX BUTTE,WASTE OIL,516,BNSF-WASTEWATER TREATMENT
20054-MBS-2215,,BNSF,500 W KANSAS,ALLIANCE/BOX BUTTE,NE,69301,2,,ALLIANCE YARDS,ALLIANCE,BOX BUTTE,#2 DIESEL,,
040392-CT-1330,3,BOBS INTERSTATE TEXACO,RR1 BOX 14,MILFORD,NE,68405,7,3/13/92,I-80 EXIT 382,MILFORD,SEWARD,GASOLINE,7726,BOB'S I-80 TEXACO
110497-GW-1525,T,BOLLI OIL CO,132 GRAND AVENUE,BURWELL,NE,68823,7,11/4/97,132 GRAND AVE,BURWELL,GARFIELD,GASOLINE & DIESEL,3153,BOLLI OIL CO
081910-PH-1345,1,BOMGAARS,719 16TH ST,CENTRAL CITY,NE,68826,7,8/19/10,719 16TH ST,CENTRAL CITY,MERRICK,GASOLINE,7160,BOMGAARS
050393-CT-1345,T,BOONE COUNTY ROAD DEPT,222 SOUTH 4TH ST,ALBION,NE,68620,7,12/2/92,HWY 14,ALBION,BOONE,DIESEL,3137,BOONE COUNTY ROAD DEPT.
062791-CT-0910,2,BORCHMAN CONSTRUCTION CO,4101 GRANT ST,OMAHA,NE,68111,7,6/3/91,4101 GRANT ST,OMAHA,DOUGLAS,GAS & DIESEL,1327,BORCHMAN CONSTRUCTION CO
031894-GW-1520,9,BOSSELMAN INC,BOX 1567,GRAND ISLAND,NE,68802,7,12/10/90,EAST HWY 30,GRAND ISLAND,HALL,DIESEL,7765,BOSSELMAN INC
052493-ML-0800,9,BOSSELMAN INC,PO BOX 1567,GRAND ISLAND,NE,68802,7,1/30/93,I-80 AND HWY 11,WOOD RIVER,HALL,DIESEL AND GASOLINE,428,WOOD RIVER TRUCK STOP
08030-DDB-1020,9,BOSSELMAN INC,BOX 1567,GRAND ISLAND,NE,68802,7,7/27/90,3220 WEBB ROAD,GRAND ISLAND,HALL,GASOLINE & DIESEL,406,"BOSSELMAN, INC"
081514-TH-0950,T,BOSSELMAN INC,PO BOX 4905,GRAND ISLAND,NE,68802,7,6/11/14,916 4TH AVE,HOLDREGE,PHELPS,"GASOLINE, DIESEL",11610,PUMP & PANTRY #23
092793-CT-1050,T,BOSSELMAN INC,PO BOX 1567,GRAND ISLAND,NE,68802,7,6/8/93,704 W 2ND ST,GRAND ISLAND,HALL,GASOLINE & DIESEL,415,PUMP & PANTRY # 11
110193-GH-0900,9,BOSSELMAN INC,3123 W STOLLEY PK RD,GRAND ISLAND,NE,68802,7,3/23/93,HWY 30,CHAPMAN,MERRICK,GASOLINE AND DIESEL,409,PUMP AND PANTRY #5
081613-JB-0925,T,BOSSELMAN INC,3123 W STOLLEY PARK,GRAND ISLAND,NE,68801,7,8/15/13,6912 S 110TH ST,LA VISTA,SARPY,DIESEL FUEL,11776,PUMP & PANTRY #47
082214-JK-1555,T,BOSSELMAN INC,3123 W STOLLEY PARK,GRAND ISLAND,NE,68801,7,8/22/14,6912 S 110TH ST,LA VISTA,SARPY,GASOLINE,,PUMP & PANTRY 47
